Team,Matches Played,Wins,Draws,Losses,Goals Scored,Goals Conceded,Points,Expected Goals (xG),Expected Goals Against (xGA),Average Age,Ball Possession (%),Goals Per Match,Squad Size,Foreign Players,Avg Market Value (€),Total Squad Value (€),Goal Difference,Conceded Per Match,Possession Efficiency,Squad Efficiency,Foreign Player Ratio,Log Squad Value
Manchester City,38,28,7,3,96,34,91,80.5,60.2,26.6,65.2,2.526315789473684,36,21,40.63,1460000000,62,0.8947368421052632,1.3957055214723926,0.06232876712328767,0.5833333333333334,21.101702273351588
Arsenal,38,28,5,5,91,29,89,76.1,55.3,25.0,58.2,2.3947368421052633,40,23,30.08,1200000000,62,0.7631578947368421,1.529209621993127,0.07416666666666667,0.575,20.905587394573697
Liverpool,38,24,10,4,86,41,82,87.8,63.7,26.3,61.3,2.263157894736842,45,30,21.24,955650000,45,1.0789473684210527,1.33768352365416,0.08580547271490609,0.6666666666666666,20.67790229624129
Aston Villa,38,20,8,10,76,61,68,63.3,48.6,26.9,53.1,2.0,45,23,15.77,709650000,15,1.605263157894737,1.28060263653484,0.09582188402733742,0.5111111111111111,20.380282450118685
Tottenham,38,20,6,12,74,61,66,68.2,57.4,25.0,61.6,1.9473684210526316,41,28,20.45,838500000,13,1.605263157894737,1.0714285714285714,0.07871198568872988,0.6829268292682927,20.547125140420142
Chelsea,38,18,9,11,77,63,63,74.5,51.4,24.2,58.6,2.026315789473684,56,26,18.1,1010000000,14,1.6578947368421053,1.075085324232082,0.062376237623762376,0.4642857142857143,20.733216168789678
Newcastle United,38,18,6,14,85,62,60,76.0,61.4,27.2,52.2,2.236842105263158,45,21,14.49,652250000,23,1.631578947368421,1.1494252873563218,0.09198926791874282,0.4666666666666667,20.295938483514266
Manchester United,38,18,6,14,57,58,60,56.5,68.9,26.1,50.6,1.5,42,27,17.57,808350000,-1,1.5263157894736843,1.1857707509881423,0.07422527370569679,0.6428571428571429,20.510505692248977
West Ham,38,14,10,14,74,74,52,52.3,34.8,28.3,41.1,1.9473684210526316,36,19,13.54,487500000,0,1.9473684210526316,1.2652068126520681,0.10666666666666667,0.5277777777777778,20.004800850453456
Crystal Palace,38,13,10,15,57,58,49,48.6,45.4,26.6,42.3,1.5,40,17,11.16,446580000,-1,1.5263157894736843,1.1583924349881798,0.10972278203233464,0.425,19.917129115803387
Brighton,38,12,12,14,55,55,48,56.8,55.4,25.9,59.8,1.4473684210526316,49,32,10.7,524400000,0,1.4473684210526316,0.802675585284281,0.09153318077803205,0.6530612244897959,20.07776531176076
Bournemouth,38,13,9,16,54,67,48,55.9,58.1,25.7,44.4,1.4210526315789473,42,26,9.57,401750000,-13,1.763157894736842,1.0810810810810811,0.119477286869944,0.6190476190476191,19.811340565071006
Fulham,38,13,8,17,55,62,47,50.8,62.9,28.4,50.6,1.4473684210526316,35,31,10.98,384350000,-7,1.631578947368421,0.9288537549407114,0.12228437621959151,0.8857142857142857,19.767064156361208
Wolves,38,13,7,18,50,65,46,46.7,67.7,27.6,48.9,1.3157894736842106,47,32,9.42,442730000,-15,1.7105263157894737,0.9406952965235174,0.10390079732568382,0.6808510638297872,19.908470663646547
Everton,38,13,9,16,40,51,42,54.0,55.2,29.6,45.0,1.0526315789473684,34,16,11.52,391750000,-11,1.3421052631578947,0.9333333333333333,0.10721123165283983,0.47058823529411764,19.786134441753052
Brentford,38,10,9,19,56,56,39,58.2,56.0,26.6,45.2,1.4736842105263157,42,29,10.21,428780000,0,1.4736842105263157,0.8628318584070795,0.09095573487569383,0.6904761904761905,19.876454527174257
Nottingham Forest,38,9,9,20,49,67,32,49.9,53.3,25.7,40.9,1.2894736842105263,46,36,10.9,501350000,-18,1.763157894736842,0.78239608801956,0.06382766530368006,0.782608695652174,20.032815019928822
Luton Town,38,9,8,21,52,85,33,42.4,78.0,26.7,42.8,1.368421052631579,46,22,3.06,140900000,-33,2.236842105263158,0.7710280373831776,0.23420865862313697,0.4782608695652174,18.76356098396614
Burnley,38,5,9,24,41,78,24,40.6,70.4,24.5,47.4,1.0789473684210527,39,30,7.01,273480000,-37,2.0526315789473686,0.5063291139240507,0.0877577885037297,0.7692307692307693,19.42673905466644
Sheffield United,38,3,7,28,35,104,16,38.3,76.6,25.7,35.6,0.9210526315789473,45,26,3.39,152350000,-69,2.736842105263158,0.449438202247191,0.10502133245815556,0.5777777777777777,18.841691069959825
